frame_number,time_s,x,y,x_offset
4407,146.87,880,370,-80.0
4423,147.4,823,599,-137.0
4439,147.93,772,189,-188.0
4474,149.1,786,246,-174.0
4491,149.67,835,154,-125.0
4506,150.17,907,663,-53.0
4525,150.8,817,230,-143.0
4546,151.5,911,650,-49.0
4571,152.33,722,223,-238.0
4586,152.83,660,416,-300.0
4607,153.53,695,301,-265.0
4622,154.03,775,376,-185.0
4658,155.23,869,399,-91.0
4673,155.73,948,522,-12.0
4697,156.53,986,401,26.0
4719,157.27,923,272,-37.0
4734,157.77,878,370,-82.0
4753,158.4,806,402,-154.0
4769,158.93,839,441,-121.0
4805,160.13,884,471,-76.0
4822,160.7,928,589,-32.0
4845,161.47,974,511,14.0
4865,162.13,970,472,10.0
4880,162.63,985,514,25.0
4930,164.3,825,486,-135.0
4945,164.8,815,382,-145.0
4960,165.3,832,645,-128.0
4977,165.87,847,283,-113.0
4997,166.53,943,569,-17.0
5025,167.47,997,141,37.0
5040,167.97,1026,159,66.0
5057,168.53,920,288,-40.0
5095,169.8,809,196,-151.0
5118,170.57,760,275,-200.0
5133,171.07,748,249,-212.0
5157,171.87,870,216,-90.0
5186,172.83,1035,554,75.0
5223,174.07,993,502,33.0
5242,174.7,925,378,-35.0
5260,175.3,837,412,-123.0
5286,176.17,815,335,-145.0
5301,176.67,803,224,-157.0
5317,177.2,883,651,-77.0
5332,177.7,922,339,-38.0
5349,178.27,989,628,29.0
5371,179.0,951,339,-9.0
5386,179.5,935,319,-25.0
5401,180.0,930,249,-30.0
5417,180.53,861,278,-99.0
5432,181.03,813,152,-147.0
5447,181.53,778,371,-182.0
5463,182.07,810,267,-150.0
5478,182.57,864,183,-96.0
5493,183.07,893,418,-67.0
5510,183.63,1001,243,41.0
5526,184.17,1023,368,63.0
5541,184.67,966,201,6.0
5557,185.2,955,421,-5.0
5571,185.67,932,842,-28.0
5591,186.33,870,509,-90.0
5610,186.97,826,486,-134.0
5625,187.47,899,532,-61.0
5642,188.03,896,508,-64.0
5657,188.53,953,726,-7.0
5672,189.03,991,533,31.0
5691,189.67,1098,415,138.0
5709,190.27,1098,268,138.0
5725,190.8,1042,580,82.0
5755,191.8,947,293,-13.0
5771,192.33,925,617,-35.0
5790,192.97,895,392,-65.0
5806,193.5,919,504,-41.0
5822,194.03,1050,249,90.0
5837,194.53,1101,363,141.0
5852,195.03,1140,515,180.0
5869,195.6,1183,350,223.0
5885,196.13,1160,255,200.0
5901,196.67,1089,448,129.0
5917,197.2,1065,420,105.0
5936,197.83,1041,483,81.0
5957,198.53,982,439,22.0
5972,199.03,1011,402,51.0
5987,199.53,1050,659,90.0
6002,200.03,1046,682,86.0
6017,200.53,1151,394,191.0
6032,201.03,1121,555,161.0
6054,201.77,1149,488,189.0
6069,202.27,1093,673,133.0
6087,202.87,1067,472,107.0
6102,203.37,1047,354,87.0
6120,203.97,994,361,34.0
6137,204.53,974,145,14.0
6152,205.03,977,844,17.0
6170,205.63,1062,641,102.0
6196,206.5,1159,515,199.0
6212,207.03,1190,344,230.0
6233,207.73,1142,533,182.0
6248,208.23,1110,432,150.0
6264,208.77,1058,151,98.0
6281,209.33,997,355,37.0
6299,209.93,999,571,39.0
6316,210.5,1038,503,78.0
6333,211.07,1082,565,122.0
6349,211.6,1120,382,160.0
6364,212.1,1104,635,144.0
6379,212.6,1092,754,132.0
6399,213.27,1103,370,143.0
6418,213.9,1026,603,66.0
6440,214.63,1024,375,64.0
6456,215.17,1001,482,41.0
6472,215.7,904,218,-56.0
6487,216.2,930,763,-30.0
6506,216.83,894,355,-66.0
6523,217.4,966,524,6.0
6538,217.9,968,750,8.0
6560,218.63,1067,607,107.0
6577,219.2,1057,311,97.0
6595,219.8,1027,555,67.0
6612,220.37,986,664,26.0
6642,221.37,903,343,-57.0
6657,221.87,925,538,-35.0
6705,223.47,951,416,-9.0
6725,224.13,1017,344,57.0
6743,224.73,1043,344,83.0
6777,225.87,971,531,11.0
6799,226.6,819,555,-141.0
6823,227.4,829,700,-131.0
6841,228.0,817,581,-143.0
6856,228.5,916,620,-44.0
6871,229.0,922,657,-38.0
6898,229.9,1066,267,106.0
6914,230.43,1063,525,103.0
6931,231.0,977,445,17.0
6946,231.5,963,643,3.0
6976,232.5,872,806,-88.0
6991,233.0,886,568,-74.0
7006,233.5,884,768,-76.0
7021,234.0,926,581,-34.0
7042,234.7,1065,350,105.0
7062,235.37,1142,510,182.0
7077,235.87,1179,350,219.0
7096,236.5,1146,333,186.0
7128,237.57,1016,227,56.0
7144,238.1,961,344,1.0
7159,238.6,946,386,-14.0
7176,239.17,956,533,-4.0
7200,239.97,1063,337,103.0
7224,240.77,1090,374,130.0
7240,241.3,1053,781,93.0
7279,242.6,955,389,-5.0
7295,243.13,941,354,-19.0
7319,243.93,893,311,-67.0
7334,244.43,873,200,-87.0
7351,245.0,854,249,-106.0
7368,245.57,887,376,-73.0
7383,246.07,931,599,-29.0
7402,246.7,955,382,-5.0
7417,247.2,988,263,28.0
7432,247.7,923,414,-37.0
7454,248.43,853,338,-107.0
7469,248.93,814,510,-146.0
7484,249.43,813,278,-147.0
7500,249.97,782,286,-178.0
7515,250.47,855,342,-105.0
7530,250.97,901,864,-59.0
7550,251.63,970,363,10.0
7565,252.13,972,519,12.0
7574,252.43,994,348,34.0
7595,253.13,1343,304,383.0
7610,253.63,1376,348,416.0
7625,254.13,1302,487,342.0
7642,254.7,1365,169,405.0
7650,254.97,1344,246,384.0
7669,255.6,1321,252,361.0
7684,256.1,1318,288,358.0
7699,256.6,1311,177,351.0
7717,257.2,1250,509,290.0
7733,257.73,1322,297,362.0
7748,258.23,1297,532,337.0
7763,258.73,1233,813,273.0
7778,259.23,1310,440,350.0
7794,259.77,1352,274,392.0
7823,260.73,1320,127,360.0
7838,261.23,1291,402,331.0
7864,262.1,1243,487,283.0
7884,262.77,1257,443,297.0
7901,263.33,1345,566,385.0
7918,263.9,528,674,-432.0
7933,264.4,1328,604,368.0
7954,265.1,1267,592,307.0
7969,265.6,1302,353,342.0
7984,266.1,1325,548,365.0
7999,266.6,1340,515,380.0
8000,266.63,370,352,-590.0
8015,267.13,1329,584,369.0
8016,267.17,401,320,-559.0
8032,267.7,1334,500,374.0
8047,268.2,1373,571,413.0
8062,268.7,1361,572,401.0
8077,269.2,1288,662,328.0
8092,269.7,1338,352,378.0
8109,270.27,1341,389,381.0
8128,270.9,1301,550,341.0
8143,271.4,1345,410,385.0
8158,271.9,1312,423,352.0
8159,271.93,455,527,-505.0
8174,272.43,1379,451,419.0
8190,272.97,1368,403,408.0
8206,273.5,1309,490,349.0
8221,274.0,1309,390,349.0
8236,274.5,1301,495,341.0
8254,275.1,1240,463,280.0
8269,275.6,1241,688,281.0
8284,276.1,1257,610,297.0
8299,276.6,1396,267,436.0
8314,277.1,1311,688,351.0
8315,277.13,360,565,-600.0
8338,277.9,1381,196,421.0
8355,278.47,1357,327,397.0
8379,279.27,1333,102,373.0
8398,279.9,1342,392,382.0
8415,280.47,1396,425,436.0
8432,281.03,1464,591,504.0
8448,281.57,1477,169,517.0
8449,281.6,338,451,-622.0
8467,282.2,1407,281,447.0
8483,282.73,384,245,-576.0
8484,282.77,1337,348,377.0
8507,283.53,1345,561,385.0
8510,283.63,1291,350,331.0
8534,284.43,1322,278,362.0
8551,285.0,1346,468,386.0
8566,285.5,1305,609,345.0
8582,286.03,297,277,-663.0
8585,286.13,1388,418,428.0
8600,286.63,1459,154,499.0
8601,286.67,274,320,-686.0
8616,287.17,1426,270,466.0
8617,287.2,280,565,-680.0
8632,287.7,1343,308,383.0
8634,287.77,257,355,-703.0
8651,288.33,1321,373,361.0
8653,288.4,351,445,-609.0
8668,288.9,1375,443,415.0
8669,288.93,364,558,-596.0
8684,289.43,1346,542,386.0
8700,289.97,426,437,-534.0
8722,290.7,395,430,-565.0
8723,290.73,1287,686,327.0
8738,291.23,1235,723,275.0
8739,291.27,435,530,-525.0
8761,292.0,420,470,-540.0
8765,292.13,1286,461,326.0
8782,292.7,1253,476,293.0
8790,292.97,1272,382,312.0
8806,293.5,1244,576,284.0
8824,294.1,1255,651,295.0
8839,294.6,1240,693,280.0
8855,295.13,1312,263,352.0
8870,295.63,1306,394,346.0
8888,296.23,1290,272,330.0
8903,296.73,1236,698,276.0
8921,297.33,1320,359,360.0
8938,297.9,1240,549,280.0
8954,298.43,1256,471,296.0
8969,298.93,1329,446,369.0
8995,299.8,1335,151,375.0
9010,300.3,1287,360,327.0
9028,300.9,265,136,-695.0
9029,300.93,1302,319,342.0
9046,301.5,1239,511,279.0
9061,302.0,1249,639,289.0
9076,302.5,1227,623,267.0
9091,303.0,1337,352,377.0
9106,303.5,1380,211,420.0
9121,304.0,1338,286,378.0
9136,304.5,1273,539,313.0
9151,305.0,1349,257,389.0
9171,305.67,1357,508,397.0
9193,306.4,1371,521,411.0
9194,306.43,299,628,-661.0
9209,306.93,1358,499,398.0
9210,306.97,236,330,-724.0
9231,307.67,1400,414,440.0
9246,308.17,1397,325,437.0
9270,308.97,1375,260,415.0
9287,309.53,386,464,-574.0
9288,309.57,1311,540,351.0
9306,310.17,1268,674,308.0
9307,310.2,444,589,-516.0
9322,310.7,1365,499,405.0
9330,310.97,1487,437,527.0
9345,311.47,271,381,-689.0
9360,311.97,1510,519,550.0
9381,312.67,1446,229,486.0
9382,312.7,266,483,-694.0
9397,313.2,376,471,-584.0
9422,314.03,1305,508,345.0
9438,314.57,1293,421,333.0
9453,315.07,1272,710,312.0
9454,315.1,284,306,-676.0
9469,315.6,353,479,-607.0
9484,316.1,1442,436,482.0
9486,316.17,322,368,-638.0
9505,316.8,385,423,-575.0
9509,316.93,1422,383,462.0
9526,317.5,417,548,-543.0
9527,317.53,1442,306,482.0
9542,318.03,1310,546,350.0
9543,318.07,406,200,-554.0
9558,318.57,1359,433,399.0
9580,319.3,1360,391,400.0
9581,319.33,281,167,-679.0
9596,319.83,1512,193,552.0
9611,320.33,1396,720,436.0
9626,320.83,1425,719,465.0
9641,321.33,333,347,-627.0
9656,321.83,1473,144,513.0
9657,321.87,442,381,-518.0
9672,322.37,479,361,-481.0
9689,322.93,1395,223,435.0
9710,323.63,1398,331,438.0
9725,324.13,1487,479,527.0
9743,324.73,1503,798,543.0
9760,325.3,1554,503,594.0
9775,325.8,1431,586,471.0
9790,326.3,1403,708,443.0
9805,326.8,1500,41,540.0
9806,326.83,336,347,-624.0
9821,327.33,1357,617,397.0
9839,327.93,1332,128,372.0
9854,328.43,1287,573,327.0
9875,329.13,1241,534,281.0
9894,329.77,1313,420,353.0
9914,330.43,1361,180,401.0
9929,330.93,1334,244,374.0
9931,331.0,316,568,-644.0
9948,331.57,1320,353,360.0
9951,331.67,328,514,-632.0
9967,332.2,321,501,-639.0
9969,332.27,1321,430,361.0
9984,332.77,1407,325,447.0
10000,333.3,1434,204,474.0
10015,333.8,1448,424,488.0
10024,334.1,1421,478,461.0
10026,334.17,337,782,-623.0
10053,335.07,1289,547,329.0
10068,335.57,1163,672,203.0
10083,336.07,1198,648,238.0
10084,336.1,320,517,-640.0
10099,336.6,1225,641,265.0
10100,336.63,319,459,-641.0
10115,337.13,1298,514,338.0
10142,338.03,1364,549,404.0
10160,338.63,1453,337,493.0
10175,339.13,1464,347,504.0
10191,339.67,1361,412,401.0
10224,340.77,1256,296,296.0
10242,341.37,1245,455,285.0
10262,342.03,366,418,-594.0
10267,342.2,1296,441,336.0
10282,342.7,1298,676,338.0
10300,343.3,1358,552,398.0
10317,343.87,1328,605,368.0
10349,344.93,1241,471,281.0
10366,345.5,1233,283,273.0
10395,346.47,1228,206,268.0
