frame_number,time_s,x,y,x_offset
19031,634.33,1025,423,65.0
19046,634.83,1074,384,114.0
19067,635.53,1033,395,73.0
19093,636.4,933,466,-27.0
19124,637.43,909,718,-51.0
19150,638.3,918,456,-42.0
19181,639.33,1039,449,79.0
19211,640.33,1119,419,159.0
19241,641.33,1108,559,148.0
19256,641.83,1061,692,101.0
19271,642.33,1058,501,98.0
19298,643.23,996,403,36.0
19321,644.0,1024,346,64.0
19337,644.53,1028,749,68.0
19352,645.03,1036,624,76.0
19391,646.33,1090,620,130.0
19415,647.13,1050,213,90.0
19444,648.1,1005,342,45.0
19472,649.03,974,645,14.0
19496,649.83,968,813,8.0
19514,650.43,947,625,-13.0
19546,651.5,976,416,16.0
19562,652.03,1048,504,88.0
19577,652.53,1054,524,94.0
19592,653.03,1039,757,79.0
19622,654.03,994,816,34.0
19637,654.53,945,664,-15.0
19652,655.03,905,684,-55.0
19667,655.53,843,623,-117.0
19682,656.03,808,790,-152.0
19697,656.53,776,637,-184.0
19712,657.03,826,707,-134.0
19741,658.0,858,487,-102.0
19772,659.03,1001,402,41.0
19787,659.53,1015,840,55.0
19802,660.03,1014,790,54.0
19817,660.53,960,101,0.0
19832,661.03,972,812,12.0
19847,661.53,931,713,-29.0
19862,662.03,916,692,-44.0
19877,662.53,933,567,-27.0
19892,663.03,940,511,-20.0
19907,663.53,978,702,18.0
19922,664.03,997,725,37.0
19937,664.53,1015,390,55.0
19952,665.03,1026,706,66.0
19967,665.53,1010,445,50.0
19997,666.53,934,260,-26.0
20012,667.03,967,313,7.0
20027,667.53,929,660,-31.0
20042,668.03,946,229,-14.0
20065,668.8,967,411,7.0
20107,670.2,993,689,33.0
20122,670.7,973,392,13.0
20143,671.4,959,458,-1.0
20161,672.0,888,504,-72.0
20176,672.5,795,505,-165.0
20191,673.0,829,519,-131.0
20213,673.73,882,567,-78.0
20221,674.0,945,802,-15.0
20236,674.5,1005,687,45.0
20273,675.73,1057,389,97.0
20292,676.37,1007,444,47.0
20309,676.93,989,334,29.0
20328,677.57,952,340,-8.0
20356,678.5,926,532,-34.0
20386,679.5,952,453,-8.0
20401,680.0,979,830,19.0
20450,681.63,1071,523,111.0
20474,682.43,1072,673,112.0
20489,682.93,1030,875,70.0
20506,683.5,1002,685,42.0
